index,rank,book,german,english,gender,german_sentence,english_sentence
2782,2782,2,der Produzent,the producer,M,Ich bin der Produzent dieses Films.,I'm the producer of this movie.
2783,2783,2,stillen,to breastfeed / breastfeeding,vb,"Das Stillen ist einfacher, wenn das Baby neben dir schläft.",It's easier to breastfeed if you sleep together.
2784,2784,2,gewaltig,enormous / mightily,adj,Das Luftverkehrsaufkommen in Mitteleuropa ist gewaltig.,There is an enormous volume of air traffic in Central Europe.
2785,2785,2,das Zeitalter,the age / period,N,"Ich bin glücklich, im Zeitalter großer Anfänge zu leben.",I'm glad I'm living in this age of great beginnings.
2786,2786,2,abschließen,to lock / complete,vb,Zum Fortfahren müssen Sie das Quiz abschließen.,You must complete the quiz in order to continue.
2787,2787,2,benommen,numb / numbly,adj,"Er ist leider nur benommen, John.","He is unfortunately just numb, John."
2788,2788,2,die Pfote,the paw,F,Ein Wolf würde seine eigene Pfote abkauen.,A wolf would chew off its own paw.
2789,2789,2,erzeugen,to generate,vb,Andere Aktionen können jedoch einen kontinuierlichen Wert erzeugen.,"Other events, however, might generate a continuous value."
2790,2790,2,zerbrechen,to break,vb,Und zerbrechen Sie bitte kein Geschirr.,And please don't break any of those dishes.
2791,2791,2,servieren,to serve,vb,Ich darf heute keinen Kaffee servieren.,I'm not allowed to serve coffee today.
2792,2792,2,kriminell,criminal / criminally,adj,Es ist nicht kriminell Leute zu treffen.,There's nothing criminal in socializing.
2793,2793,2,kratzen,to scratch,vb,Es juckt dich und du kannst nicht kratzen.,You've had an itch you can't scratch.
2794,2794,2,flach,flat / shallow,adj,Das Ergebnis ist relativ flach und detailarm.,The result is fairly flat and lacking in detail.
2795,2795,2,unsterblich,immortal,adj,Wir halten uns alle für unsterblich.,We all think that we're immortal.
2796,2796,2,das Stipendium,the scholarship,N,Das Stipendium muss nicht zurückgezahlt werden.,The scholarship does not need to be repaid.
2797,2797,2,die Wolke,the cloud,F,Ich schwebe auf Wolke sieben.,I'm on cloud nine.
2798,2798,2,die Rippe,the rib,F,Ich kann mit einer gebrochenen Rippe fahren.,I can drive with a broken rib.
2799,2799,2,der Säufer,the drunk (coll),M,Manche würden Sie einen Säufer nennen.,Some would call you a drunk.
2800,2800,2,vergeuden,to waste,vb,Wir sollten nicht noch mehr Zeit vergeuden.,"Look, we shouldn't waste any more time."
2801,2801,2,arbeitslos,unemployed,adj,Sie sind jetzt auch arbeitslos.,"They are unemployed now, too."
2802,2802,2,beseitigen,to eliminate,vb,Sie beseitigen den unangenehmen Körpergeruch und desinfizieren.,They eliminate unpleasant body odors and disinfect the body.
2803,2803,2,umkehren,to reverse,vb,Hoffentlich kann er den Prozess umkehren.,Let's hope he can reverse that process.
2804,2804,2,das Passwort,the password,N,Dein Passwort muss mindestens Zeichen haben.,Your password must contain a minimum of 6 characters.
2805,2805,2,regelmäßig,regularly / regular,adv,"Man muss regelmäßig essen, um abzunehmen.",You have to eat regularly to lose weight.
2806,2806,2,überzeugend,convincingly / convincing,adv,"Sie war sehr überzeugend darin, Anne Frank zu spielen.","She was very convincing, playing Anne Frank."
2807,2807,2,der Knabe,the boy (CH),M,Der Knabe war plötzlich auffallend müde.,The boy suddenly seemed extremely tired.
2808,2808,2,die Fahrkarte,the ticket,F,Was kostet die Fahrkarte bis zur Grenze?,How much for a ticket to the frontier?
2809,2809,2,abziehen,to remove,vb,Zuerst alle Stromkabel vom Ausgang abziehen.,"First, remove power cords from an outlet."
2810,2810,2,ungut,bad / uncomfortable,adj,"Was da drinnen läuft, ist ungut.",I got a bad feeling about what's going on in there.
2811,2811,2,der Schmutz,the dirt,M,Selbst hartnäckig festsitzender Schmutz wird dadurch einwandfrei entfernt.,"Even stubborn, deep-seated dirt can thus be removed without difficulty."
2812,2812,2,unerträglich,unbearable / unbearably,adj,"Glaub mir, es ist unerträglich.","Trust me, it's unbearable."
2813,2813,2,kontaktieren,to contact,vb,Sogar jetzt musste ich dich kontaktieren.,"Even now, I had to contact you."
2814,2814,2,aufgebracht,upset,adj,Vielleicht war er deshalb so aufgebracht.,Maybe that's why he was so upset.
2815,2815,2,verkleiden,to disguise / dress up,vb,Leute verkleiden sich als ihre Lieblingsfilmfigur.,People dress up as their favorite movie character.
2816,2816,2,durchführen,to carry out,vb,Diese Versuche werde ich selbst durchführen.,I am to carry out these tests myself.
2817,2817,2,die Begegnung,the encounter,F,Wir brauchen eine Beschreibung dieser Begegnung.,We are going to need a description of the encounter.
2818,2818,2,klarstellen,to clarify,vb,Die EU muss ihren Standpunkt in dieser Frage unbedingt klarstellen.,It is essential that the EU clarify its position on this matter.
2819,2819,2,die Bezahlung,the payment,F,Dieser Artikel wurde mit sofortiger Bezahlung gekauft.,This item has been purchased with immediate payment.
2820,2820,2,die Herkunft,the origin,F,Dennoch leugnen sie ihre Herkunft nie.,"Yet, they would never deny their origin."
2821,2821,2,die Stiftung,the foundation,F,Die Stiftung fand Ihre Arbeit unterstützenswert.,The foundation found your research worthy of support.
2822,2822,2,die Kenntnis,the knowledge,F,Ich habe wahrlich keine besonderen Kenntnisse von diesem Thema.,I assure you I have no special knowledge on the matter.
2823,2823,2,elegant,elegant / stylishly,adj,Der architektonische Stil der Kirche ist sowohl elegant als auch streng.,"The church has an architectural style which is both elegant and, at the same time, severe."
2824,2824,2,verursachen,to cause,vb,Falsche Vorgänge können schwere Unfälle verursachen.,Failure to follow the proper procedure can cause a serious accident.
2825,2825,2,der Jazz,the jazz,M,Wir werden uns netten Jazz anhören.,And we'll listen to some nice jazz.
2826,2826,2,eiskalt,freezing,adj,"Jane, da drüben ist es eiskalt.","Jane, it's freezing over there."
2827,2827,2,bezaubernd,charming / charmingly,adj,Sie ist ebenso bezaubernd wie ihre Schwester.,She is as charming as her sister.
2828,2828,2,hinrichten,to execute,vb,Es waren so viele und Sie können mich nur einmal hinrichten.,"There were so many, and you can only execute me once."
2829,2829,2,das Tuch,the cloth,N,Bildschirm vorsichtig mit feuchtem Tuch reinigen.,Wipe the screen carefully using a clean cloth.
2830,2830,2,leuchten,to glow,vb,Eines davon lässt Leute im Dunkeln leuchten.,One of them makes people glow in the dark.
2831,2831,2,der Salon,the salon,M,Ganz Paris spricht von Ihrem Salon.,The whole of Paris is talking about your salon.
2832,2832,2,aufhängen,to hang,vb,Du musst den schwarzen Rock aufhängen.,I need you to hang the black skirt.
2833,2833,2,der Abzug,the trigger,M,John hatte den Finger am Abzug.,John had his finger on the trigger.
2834,2834,2,vertraulich,confidential / confidentially,adj,In einigen Ländern sind diese Dokumente vertraulich.,These documents are classified as confidential in some countries.
2835,2835,2,der Wald,the forest,M,Der Mann hat sich im Wald verlaufen.,The man lost his way in the forest.
2836,2836,2,die Mumie,the mummy,F,Diese Mumie ist Jahre alt.,That mummy is 643 years old.
2837,2837,2,die Logik,the logic,F,Mit purer Logik kann man den allergrößten Schwachsinn beweisen.,"With pure logic, you can prove the biggest nonsense."
2838,2838,2,die Kurve,the bend / curve,F,"Vorsicht, da kommt eine Kurve.","Careful, we're coming to a bend."
2839,2839,2,erfassen,to capture / conception,vb,"Befolgen Sie die Anweisungen, um die gewünschten Informationen zu erfassen.",Follow the instructions to capture the desired information.
2840,2840,2,anstelle,instead of,prp,"John beschloss, sich anstelle eines neuen Wagens einen Gebrauchtwagen zuzulegen.",John decided to buy a used car instead of a new one.
2841,2841,2,der Schwung,the momentum,M,Im Laufe der Tage kam unsere Kampagne immer mehr in Schwung.,"As the days passed, our campaign grew in momentum."
2842,2842,2,die Pressekonferenz,the press conference,F,Wir gehen jetzt gemeinsam zur Pressekonferenz.,We will now go together to the press conference.
2843,2843,2,der Zoll,the customs / inch,M,"Nachdem ich den Zoll passiert hatte, konnte ich gehen, wohin ich wollte.","After getting through customs, I was free to go wherever I wanted."
2844,2844,2,zart,tender / tenderly,adj,Das Fleisch war innen sehr zart.,The meat was very tender inside.
2845,2845,2,die Division,the division,F,Jede Division in dieser Stadt arbeitet daran.,Every division in the city is working on this.
2846,2846,2,ausprobieren,to try (out),vb,Ich würde gerne eine andere Lösung mit Ihnen ausprobieren.,"However, I have another solution I'd like to try with you."
2847,2847,2,aufeinander,on each other,adv,Wir müssen zusammenbleiben und aufeinander achten.,We need to stick together and keep an eye on each other.
2848,2848,2,eindringen,to invade / intrusion,vb,Ich wollte nicht in Ihre Privatsphäre eindringen.,I didn't want to invade your privacy.
2849,2849,2,final,final,adj,Du bist bereit für den finalen Test.,You are ready for your final test.
2850,2850,2,starr,rigid / rigidly,adj,Die Europäische Union ist nicht starr.,The European Union is not rigid.
2851,2851,2,der Vortrag,the lecture,M,John musste seinen Vortrag wegen Krankheit absagen.,John had to cancel his lecture because he was sick.
2852,2852,2,der Becher,the cup,M,Aber wir müssen seinen Becher füllen.,But we must fill his cup.
2853,2853,2,verhören,to interrogate / mishear,vb,Genau deswegen werden Sie und John ihn verhören.,Which is exactly why you and John will interrogate him.
2854,2854,2,unendlich,infinitely / infinite,adv,Wie unendlich weit dieses Land ist.,How infinitely vast this country is.
2855,2855,2,außergewöhnlich,exceptional / exceptionally,adj,Sie sind eine außergewöhnlich gute Köchin.,You're an exceptionally good cook.
2856,2856,2,abreisen,to depart,vb,Er ist vorgestern nach London abgereist.,He departed for London the day before yesterday.
2857,2857,2,basieren,to be based,vb,Die Beziehung zwischen Ehemann und Ehefrau sollte auf Liebe basieren.,The relationship between husband and wife should be based on love.
2858,2858,2,ringen,to wrestle / struggle,vb,Ich würde dich gerne ringen sehen.,I'd love to see you wrestle.
2859,2859,2,leugnen,to deny / denial,vb,Natürlich würde er das Ganze leugnen.,"Naturally, he would deny the whole thing."
2860,2860,2,der Techniker,the technician,M,Dieser Vorgang sollte von einem geschulten Techniker durchgeführt werden.,This process is intended to be performed by a trained technician.
2861,2861,2,sinken,to sink,vb,"Ich verstehe nicht, wie man so tief sinken kann.",I don't see how a man can sink that low.
2862,2862,2,der Glückspilz,the lucky guy (coll),M,Dein Leben lang bist du der Glückspilz.,All your life you're the lucky guy.
2863,2863,2,das Lebensmittel,the food,N,Was ist mit dem Rest der Lebensmittel geschehen?,What happened to the rest of the food?
2864,2864,2,die Flut,the flood / high tide,F,Es wird eine Flut geben und ein Feuer.,There will be a flood and a fire.
2865,2865,2,ängstlich,scared / fearfully,adj,"Ich weiß, wie ängstlich du sein musst.",I know how scared you must be.
2866,2866,2,einatmen,to inhale / inhaling,vb,"Pass auf, dass du Sporen nicht einatmest; sie sind tödlich.",Be careful not to inhale the spores; they're deadly.
2867,2867,2,anschließen,to connect,vb,Nicht während eines Gewitters anschließen oder verwenden.,Do not connect or use during a lightning storm.
2868,2868,2,der Effekt,the effect,M,Seine Bemerkungen hatten den gegenteiligen Effekt.,His remarks had the opposite effect.
2869,2869,2,die Peitsche,the whip,F,Er ist von der Peitsche gelaufen.,He was running from the whip.
2870,2870,2,die Abreise,the departure,F,Sie informierte mich über ihre Abreise.,She informed me of her departure.
2871,2871,2,jammern,to complain,vb,Es lohnt sich nicht zu jammern.,It's not worth complaining about.
2872,2872,2,evakuieren,to evacuate,vb,In der Zwischenzeit müssen wir die Anlage komplett evakuieren.,"In the meantime, we have to completely evacuate the compound."
2873,2873,2,vereinbart,agreed / appointed,adj,Diese Aktualisierungen werden unseren Kunden wie vereinbart auf Datenträgern zugesandt.,"Where agreed, these upgrades will be sent to customers on physical media."
2874,2874,2,überwinden,to overcome,vb,Er kann jedes Hindernis überwinden.,He can overcome any obstacle.
2875,2875,2,die Abkürzung,the abbreviation / shortcut,F,Sie können den Wochentag ausschreiben oder als Abkürzung eingeben.,You can enter a weekday using the full name or an abbreviation.
2876,2876,2,die Kampagne,the campaign,F,Die Kampagne scheint wie eine Bombe einzuschlagen.,The campaign seems to be going like a bomb.
2877,2877,2,das Beileid,the condolence,N,"Ich war da, um mein Beileid zu bekunden.",I was there in order to express my condolence.
2878,2878,2,herhören,to pay attention,vb,"Können alle mal herhören, bitte?","Can I have everybody's attention, please?"
2879,2879,2,modeln,to model (coll) / modeling,vb,"Vergiss das Modeln, werde Anwältin.","Just forget modeling, you should be a lawyer."
2880,2880,2,die Kommunikation,the communication,F,Es ist ein modernes Mittel zur internationalen Kommunikation.,It is a modern tool for international communication.
2881,2881,2,geloben,to vow,vb,"Europas Führer geloben immer wieder, alles Nötige zu tun, um den Euro zu retten.",Europe's leaders repeatedly vow to do everything necessary to save the euro.
2882,2882,2,nachmittags,in the afternoon,adv,Ich werde dich nachmittags wiedersehen.,I'll see you again this afternoon.
2883,2883,2,die Kapelle,the chapel / band,F,Die Sixtinische Kapelle ist Michelangelos Meisterwerk.,The Sistine chapel is Michelangelo's masterpiece.
2884,2884,2,die Artillerie,the artillery,F,Schwere Artillerie ist im Terrorismus nichts Neues.,Heavy artillery is nothing new in terrorist operations.
2885,2885,2,der Aufruhr,the turmoil,M,Das ganze Land soll ja im Aufruhr sein.,They say that the whole country is in turmoil.
2886,2886,2,produzieren,to produce,vb,"In vielen Sprachen ist es schwierig, schriftliche oder mündliche Äußerungen zu produzieren, die nicht das Geschlecht des Sprechers verraten würden.","In many languages, it is difficult to produce text or speech that does not give away one's gender."
2887,2887,2,der Irak,the Iraq,M,Kannst du auf einer Karte den Irak finden?,Can you find Iraq on a map?
2888,2888,2,unerwartet,unexpectedly / unexpected,adv,Ich traf ihn völlig unerwartet.,I met him quite unexpectedly.
2889,2889,2,Juwel,jewel,N/M,"Sie alle sind überzeugt, ich hätte das Juwel gestohlen.",You all believe that I stole the jewel.
2890,2890,2,der Profit,the profit,M,Die medizinischen Fachkräfte erbringen eine soziale Dienstleistung und erzeugen keinen Profit.,Health workers provide a social service and are not a means of generating profit.
2891,2891,2,wiederhaben,to have back,vb,Er wollte nur seinen Job wiederhaben.,He was just trying to get his job back.
2892,2892,2,mittlerweile,meanwhile,adv,Hessen gehört mittlerweile zu den attraktivsten Orten in Deutschland.,Hessen belongs meanwhile to the most attractive places in Germany.
2893,2893,2,gefährdet,endangered / vulnerable,adj,Sogar mit privaten Sicherheitsdiensten sind diese Schiffe gefährdet.,"Even with private security, these boats are very vulnerable."
2894,2894,2,die Schrift,the font / writing,F,"Sie können auch Farbe, Schrift und Texthöhe ändern.","You can also change the color, font, and text height."
2895,2895,2,der Bewohner,the resident,M,"Ich kenne eine Stadt, deren Bewohner noch nie Zigaretten geraucht haben.",I know of a city whose residents never smoked.
2896,2896,2,das Stadion,the stadium,N,Es waren viele begeisterte Anhänger im Stadion.,There were a lot of excited fans in the stadium.
2897,2897,2,knurren,to growl,vb,Der Magen der alten Frau knurrt.,The old woman's stomach growls.
2898,2898,2,beneiden,to envy,vb,"Das klingt vielleicht komisch, aber ich beneide Sie.","This might sound strange, but I envy you."
2899,2899,2,mitspielen,to play along,vb,"Wenn wir nicht mitspielen, wird er uns ganz sicher töten.","If we don't play along, he'll kill us for sure."
2900,2900,2,kürzen,to shorten,vb,Aber wir mussten den Film möglichst stark kürzen.,But we had to shorten the film as much as possible.
2901,2901,2,beichten,to confess,vb,"Ich glaube, du hast mehr zu beichten als jeder andere hier.",I imagine you have more to confess than anybody here.
2902,2902,2,stumm,mute / mutely,adj,"Frag den Arzt, ob das Baby stumm sein wird.",Ask the Doctor if the baby will be mute.
2903,2903,2,zuliebe,for sake,adv,Wir sollten diese Pseudoreform Europa zuliebe ablehnen.,We should reject this pseudo-reform for Europe's sake.
2904,2904,2,abgelaufen,expired / up,adj,Ihre Sitzung scheint abgelaufen zu sein.,Your session seems to have expired.
2905,2905,2,verbreitet,common,adj,Einige Wirkungen sind jedoch universal oder zumindest sehr verbreitet.,"Some of the effects, however, are universal, or at least widespread."
2906,2906,2,amüsant,amusing / amusingly,adj,Aber es ist immer wieder amüsant.,But that never ceases to be amusing.
2907,2907,2,merkwürdig,peculiar / extraordinarily,adj,Irgendwas ist merkwürdig an diesem Mann.,There's something very peculiar about that man.
2908,2908,2,die Privatsphäre,the privacy,F,Wir gehen und lassen euch etwas Privatsphäre.,We'll leave and give you some privacy.
2909,2909,2,verständlich,understandable / understandably,adj,Ihre Position ist natürlich durchaus verständlich.,"Your position is, of course, extremely understandable."
2910,2910,2,speziell,specifically / special,adv,"Sie sind speziell dafür ausgelegt, falsch negative Ergebnisse zu vermeiden.",They are specifically designed to avoid false negatives.
2911,2911,2,der Hinterhalt,the ambush,M,Wir schickten unseren Mann in einen Hinterhalt.,We sent our man into an ambush.
2912,2912,2,technisch,technically / technical,adv,"Diese Entscheidung ist gerechtfertigt, technisch gelungen und notwendig.","This decision is fair, technically correct and necessary."
2913,2913,2,südlich,south / to the south of,adj,"Quito, Ecuador, liegt etwas südlich des Äquators.","Quito, Ecuador, is a little south of the equator."
2914,2914,2,die Nutte,the whore (coll),F,"Ich weiß, dass du keine Nutte bist.",I know you're no whore.
2915,2915,2,hinzu,in addition,adv,Hinzu kommt eine Million illegaler Einwanderer.,"In addition to that, there are one million illegal immigrants."
2916,2916,2,die Ausgabe,the edition,F,Hätten Sie nicht auch eine billigere Ausgabe?,Haven't you got a cheaper edition?
2917,2917,2,der Horizont,the horizon,M,Wir sahen ihren Rauch am Horizont!,We've seen their smoke on the horizon!
2918,2918,2,die Formel,the formula,F,Albert Einsteins Relativitätstheorie ist die berühmteste Formel der Welt.,Albert Einstein's theory of relativity is the most famous formula in the world.
2919,2919,2,verschaffen,to give,vb,Wir verschaffen dem Kunden spürbare Vorteile.,We provide significant business benefits to customers.
2920,2920,2,das Siegel,the seal,N,"Seit du Kaiser wurdest, gab ich mein Siegel nur einem.","Since you became emperor, I've only given my seal to one person."
2921,2921,2,die Illusion,the illusion,F,Sie erschufen die Illusion der Stadt.,They've created the illusion of the town.
2922,2922,2,anstrengend,exhausting,adj,Die Bustouren waren spannend und anstrengend.,The bus tours were thrilling and exhausting.
2923,2923,2,hacken,to chop / job (AT),vb,"Ganz klein hacken die Zwiebeln, John.","You chop that onion into fine little pieces, John."
2924,2924,2,einschließlich,including / inclusively,prp,"Alle Verallgemeinerungen sind falsch, einschließlich dieser hier.","All generalizations are false, including this one."
2925,2925,2,der Russe,the Russian,M,Nicht jeder Bürger Russlands ist ein Russe.,Not every citizen of Russia is Russian.
2926,2926,2,nachkommen,to fulfill / comply with,vb,"Jeder sollte der Pflicht, Steuern zu zahlen, nachkommen.",Everyone should fulfill their duty to pay taxes.
2927,2927,2,die Poesie,the poetry,F,Aber Wagners Poesie wirkt durch seine Musik.,But the beauty of Wagner's poetry is in the music.
2928,2928,2,bescheiden,modest / modestly,adj,Bei all seinen Leistungen ist er bescheiden geblieben.,"After everything he's done, he's still modest."
2929,2929,2,die Soße,the sauce,F,Es schmeckt auch gut mit der scharfen Soße.,"It's good with the hot sauce, too."
2930,2930,2,langweilen,to bore / get bored,vb,"Ich befürchte, dass ich mich dort langweile.",I'm afraid I'll get bored there.
2931,2931,2,zögern,to hesitate / hesitation,vb,"Ich nehme an, Ihr Zögern ist kein gutes Zeichen.",I do not take your hesitation as a promising sign.
2932,2932,2,unterzeichnen,to sign,vb,"John weigerte sich, das Dokument zu unterzeichnen.",John refused to sign the document.
2933,2933,2,anbringen,to apply,vb,Den Sensor am eigenen Finger anbringen.,Apply the sensor to your finger.
2934,2934,2,entsprechend,according to / corresponding,prp,Wir verfahren dem Plan entsprechend.,We're proceeding according to plan.
2935,2935,2,aufgelöst,upset,adj,"Ich hoffe, er ist auch mal so aufgelöst, wenn er mit mir Schluss macht.",I hope he's this upset if he ever breaks up with me.
2936,2936,2,die Birne,the pear / bulb,F,Iss ein Apfel oder eine Birne.,Have an apple or a pear.
2937,2937,2,der Stützpunkt,the base,M,Er trainierte auf einem Stützpunkt hundert Meilen entfernt in dieser Nacht.,He was training at a base a hundred miles away that night.
2938,2938,2,die Erfüllung,the fulfillment,F,Seit Jahren warten wir auf die Erfüllung der Prophezeiung.,"For a thousand years, we have been awaiting the fulfillment of prophecy."
2939,2939,2,auflösen,to dissolve / resolve,vb,Die Säure wird den Schlüssel in wenigen Sekunden auflösen.,The acid will dissolve the key in a matter of seconds.
2940,2940,2,das Anwesen,the estate,N,Er war noch nie auf Johns Anwesen gewesen.,He had never been to John's estate.
2941,2941,2,erbärmlich,pathetic / pitifully,adj,Im Moment erscheint mir alles erbärmlich.,"These days, everything seems pathetic to me."
2942,2942,2,wertlos,worthless / worthlessly,adj,Deine Entschuldigungen sind für mich wertlos.,Your apologies are worthless to me.
2943,2943,2,kleiden,to dress,vb,Englische Damen kleiden sich abends genau wie alle anderen Damen.,English women dress like everyone else in the evening.
2944,2944,2,der Schwindler,the fraud,M,"Wenigstens hoffe ich, dass er ein Schwindler ist.",At least I hope he's a fraud.
2945,2945,2,schwingen,to swing,vb,Die Arme schwingen entgegen der Bewegung der Beine.,The arms swing opposite to the legs.
2946,2946,2,angemessen,appropriate / suitably,adj,Meine Rede war dem Anlass angemessen.,My speech was appropriate for the occasion.
2947,2947,2,zutiefst,deeply,adv,Wir wurden beide zutiefst davon verletzt.,We've both been deeply wounded by them.
2948,2948,2,der Anzug,the suit,M,Ich sollte ohne den Anzug nicht losfahren.,I'm not supposed to leave without that suit.
2949,2949,2,gemäß,according to / appropriate,prp,Wir haben ihn gemäß der Regel bestraft.,We punished him according to the rules.
2950,2950,2,der Fotograf,the photographer,M,Du bist wirklich ein guter Fotograf.,You're really a good photographer.
2951,2951,2,einbrechen,to break in,vb,Wir können nicht einfach in das Büro einbrechen.,We can't just break into the office.
2952,2952,2,heil,unhurt / salvation,adj,Aber das Heil wird nicht aus Brüssel kommen.,But the salvation will not come from Brussels.
2953,2953,2,männlich,male / masculine,adj,Ich habe drei Hunde; einer ist männlich und die anderen sind weiblich.,"I have three dogs; one is male, and the others are female."
2954,2954,2,der Attentäter,the assassin,M,Ich bin dem Attentäter auf der Spur.,I've been tracking this assassin.
2955,2955,2,der Single,the single / single record / (tennis) single,M,John war sein ganzes Leben lang Single.,John has been single all his life.
2956,2956,2,seither,since then,adv,Seither führt er ein Lotterleben.,He has led a loose life since then.
2957,2957,2,zerreißen,to tear (up),vb,"Wenn es für mich ist, zerreißen Sie es.","If that's for me, tear it up."
2958,2958,2,sorgfältig,careful / meticulously,adj,"Lies sorgfältig die Anweisungen, bevor du anfängst.",Read the instructions carefully before you begin.
2959,2959,2,verweigern,to refuse,vb,Sie verweigern bestimmt keinen kostenlosen Whiskey.,I know you will not refuse free whiskey.
2960,2960,2,die Sequenz,the sequence,F,Diese Sequenz zeigt die Erstellung dieses Modells.,And this sequence shows the buildup of that model.
2961,2961,2,durchkommen,to come through,vb,"Ich bin sicher, Sie werden durchkommen, wie immer.",I'm sure you'll come through as you always do.
2962,2962,2,tragisch,tragic / tragically,adj,Sehe ich nicht tragisch genug aus?,Don't I look tragic enough already?
2963,2963,2,unverzüglich,prompt / promptly,adj,Wir haben Ihre Anmeldung erhalten und werden sie unverzüglich bearbeiten.,We have received your application and will process it promptly.
2964,2964,2,schalten,to switch,vb,"Okay, schalten Sie uns zurück auf Autopilot.","OK, switch us back to autopilot."
2965,2965,2,zueinander,to each other,adv,Warum können die Leute nicht einfach nur nett zueinander sein?,Why can't people just be nice to each other?
2966,2966,2,entwerfen,to design,vb,Ich möchte meinen eigenen Orden entwerfen.,I would like to design my own medal.
2967,2967,2,gedenken,to commemorate / commemoration,vb,Wir können diesen Moment in einem Foto gedenken.,We can commemorate this moment in a photo.
2968,2968,2,das Video,the video,N,Wann hast du dieses Video gekauft?,When did you buy this video?
2969,2969,2,der Nagel,the nail,M,Holt den Nagel aus meiner Hand!,Get the nail out of my hand!
2970,2970,2,das Morgengrauen,the dawn,N,Ich bin seit dem Morgengrauen auf.,I've been up since dawn.
2971,2971,2,ursprünglich,originally / original,adv,Dieses Auto gehörte ursprünglich John.,This car originally belonged to John.
2972,2972,2,die Arena,the arena,F,Ich habe viel Zeit meines Lebens in dieser Arena verbracht.,I've spent much of my life in this arena.
2973,2973,2,die Parade,the parade,F,Ich verstecke mich inmitten einer Parade.,I'm hiding in the middle of a parade.
2974,2974,2,der Chor,the choir,M,Sie singt im Chor unserer Kirche.,She sings in the choir at our church.
2975,2975,2,das Südamerika,the South America,N,Was ist das größte Land in Südamerika?,What is the largest country in South America?
2976,2976,2,dreißig,thirty,nu,"Mehr als dreißig Jahre lebte ich mit Gefühl, ich sei ein Ausgestoßener.",For more than thirty years I had a feeling that I was a social outcast.
2977,2977,2,auswendig,by heart,adj,"Ich kenne die Regeln auswendig, aber ich spiele nicht so gut.","I know the rules by heart, but I'm not so good playing."
2978,2978,2,der Fingerabdruck,the fingerprint,M,Wir fanden seine Fingerabdrücke am Tatort.,We found his fingerprints at the crime scene.
2979,2979,2,die Vereinbarung,the agreement,F,"Ich dachte, wir hätten eine Vereinbarung.",I thought we had an agreement.
2980,2980,2,das Abkommen,the agreement / deviate,N,Dieses Abkommen wird von den Vertragsparteien regelmäßig überprüft.,This agreement shall be subject to regular review by the parties.
2981,2981,2,der Durchsuchungsbefehl,the (search) warrant,M,Genau deshalb warten wir nicht auf einen Durchsuchungsbefehl.,Which is exactly why we are not waiting around for a warrant.
2982,2982,2,zugleich,at the same time,adv,Du warst ihm Assistentin und Geliebte zugleich.,You were his assistant and lover at the same time.
2983,2983,2,die Überwachung,the supervision,F,Der Laden steht unter polizeilicher Überwachung.,The shop is kept under police supervision.
2984,2984,2,emotional,emotional / emotionally,adj,"Es ist nicht notwendig, emotional zu werden.",There's no need for you to become emotional.
2985,2985,2,fünfzig,fifty,nu,Unser Sortiment zählt ungefähr fünfzig verschiedene Variationen.,Our assortment has about fifty different variations.
2986,2986,2,misstrauisch,warily / wary,adv,"Verzeih, wenn ich etwas misstrauisch bin.",Forgive me if I'm still a bit wary.
2987,2987,2,auslöschen,to extinguish / extinction,vb,"Eine nach der anderen, werde ich deine Hoffnungen auslöschen.","One by one, I will extinguish all your hopes."
2988,2988,2,der Rahmen,the frame,M,"Bob montierte das Bildnis in einen kunstvollen Rahmen, aber es war verkehrt herum.","Bob mounted the portrait in a fancy frame, but it was upside down."
2989,2989,2,das Streichholz,the match(stick),N,"Wir brauchen Decken, Tabak und Streichhölzer.","We need some blankets, tobacco, and matches."
2990,2990,2,der Tresor,the safe,M,Es liegt im Tresor meines Vaters.,It's locked up in my father's safe.
2991,2991,2,anstehen,to stand in line,vb,Er musste am Fahrkartenschalter anstehen.,He had to stand in line at the ticket office.
2992,2992,2,die Zeitmaschine,the time machine,F,Du musst mir eine Zeitmaschine bauen.,I need you to build me a time machine.
2993,2993,2,die Zusammenarbeit,the cooperation,F,Ich bin für Ihre Zusammenarbeit dankbar.,I appreciate your cooperation.
2994,2994,2,besagen,to indicate,vb,"Die Fußabdrücke besagen, dass ein Mensch verantwortlich ist.",The footprints indicate a human is responsible.
2995,2995,2,gesammelt,collected / collective,adj,Die Berichte werden gesammelt und in Zukunft verfügbar gemacht.,The reports will be collected and made available in the future.
2996,2996,2,der Hörer,the receiver / listener,M,Ich habe doch nur den Hörer aufgelegt.,I was only putting back the receiver.
2997,2997,2,teilnehmen,to participate,vb,Sie wollen mich nicht teilnehmen lassen.,They don't want to let me participate.
2998,2998,2,der Käufer,the buyer,M,Ich möchte dem Käufer eine Rückerstattung anbieten.,I'd like to offer the buyer a refund.
2999,2999,2,das Eichhörnchen,the squirrel,N,Die beiden Eichhörnchen jagten einander um den Stamm eines großen Baumes herum nach.,The two squirrels chased each other around the trunk of a large tree.
3000,3000,2,intensiv,intense / intensely,adj,"Die Effekte der Droge sind intensiv, aber von kurzer Dauer.",The effects of the drug are intense but brief.
3001,3001,2,automatisch,automatically / automatic,adv,Die Tür wird automatisch geschlossen.,The door locks automatically.
3002,3002,2,behindert,disabled,adj,"Behinderte können es nicht ertragen, wenn Leute sie bemitleiden.",Disabled people can't stand it when people pity them.
